GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SQL Templates,org.klojang.jdbc.x.rs,FloatExtractors,91,0,2,0,11,0,3,0,2,0
SQL Templates,org.klojang.jdbc.x.rs,ByteExtractors,93,0,0,0,10,0,1,0,1,0
SQL Templates,org.klojang.jdbc.x.rs,RsStrongIdentifier,190,0,22,0,40,0,17,0,6,0
SQL Templates,org.klojang.jdbc.x.rs,EnumExtractors.StringAdapter,17,0,0,0,5,0,1,0,1,0
SQL Templates,org.klojang.jdbc.x.rs,ExtractorLookup,47,0,0,0,12,0,7,0,7,0
SQL Templates,org.klojang.jdbc.x.rs,RsMethod,135,0,4,0,34,0,8,0,6,0
SQL Templates,org.klojang.jdbc.x.rs,BooleanExtractors,114,0,0,0,11,0,1,0,1,0
SQL Templates,org.klojang.jdbc.x.rs,EnumExtractors,160,0,14,0,23,0,10,0,3,0
SQL Templates,org.klojang.jdbc.x.rs,EnumExtractors.NumberAdapter,4,0,0,0,1,0,1,0,1,0
SQL Templates,org.klojang.jdbc.x.rs,RsWeakIdentifier,101,0,14,0,26,0,10,0,3,0
SQL Templates,org.klojang.jdbc.x.rs,ShortExtractors,93,0,0,0,10,0,1,0,1,0
SQL Templates,org.klojang.jdbc.x.rs,LongExtractors,90,0,0,0,10,0,1,0,1,0
SQL Templates,org.klojang.jdbc.x.rs,LocalDateTimeExtractors,34,0,4,0,4,0,5,0,3,0
SQL Templates,org.klojang.jdbc.x.rs,BeanChannel,194,0,8,0,46,0,11,0,7,0
SQL Templates,org.klojang.jdbc.x.rs,ChannelCache,187,0,12,0,31,0,14,0,8,0
SQL Templates,org.klojang.jdbc.x.rs,ExtractorNegotiator,133,0,2,0,28,0,6,0,5,0
SQL Templates,org.klojang.jdbc.x.rs,RsExtractor,49,0,2,0,14,0,6,0,5,0
SQL Templates,org.klojang.jdbc.x.rs,DoubleExtractors,100,0,2,0,11,0,3,0,2,0
SQL Templates,org.klojang.jdbc.x.rs,RowChannel,112,0,4,0,27,0,7,0,5,0
SQL Templates,org.klojang.jdbc.x.rs,StringExtractors,41,0,2,0,7,0,4,0,3,0
SQL Templates,org.klojang.jdbc.x.rs,RsMethods,180,0,2,0,33,0,5,0,4,0
SQL Templates,org.klojang.jdbc.x.rs,LocalDateExtractors,24,0,0,0,4,0,2,0,2,0
SQL Templates,org.klojang.jdbc.x.rs,IntExtractors,108,0,2,0,11,0,5,0,4,0
SQL Templates,org.klojang.jdbc.x.sql,SQLInfo,56,0,0,0,12,0,8,0,8,0
SQL Templates,org.klojang.jdbc.x.sql,SQLTemplate,111,0,8,0,23,0,8,0,4,0
SQL Templates,org.klojang.jdbc.x.sql,SQLNormalizer,46,184,11,17,11,42,8,15,0,9
SQL Templates,org.klojang.jdbc.x.sql,AbstractSQL,158,0,6,0,31,0,14,0,11,0
SQL Templates,org.klojang.jdbc.x.sql,NamedParameter,54,15,10,0,10,6,8,3,3,3
SQL Templates,org.klojang.jdbc.x.sql,ParametrizedSQL,28,0,0,0,6,0,4,0,4,0
SQL Templates,org.klojang.jdbc.x.sql,DynamicSQL,109,0,8,0,23,0,8,0,4,0
SQL Templates,org.klojang.jdbc.x.ps,IntReceivers,66,0,0,0,10,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,LocalDateTimeReceivers,23,0,0,0,6,0,4,0,4,0
SQL Templates,org.klojang.jdbc.x.ps,StringReceivers,123,0,0,0,16,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,PsSetter,179,0,4,0,42,0,10,0,8,0
SQL Templates,org.klojang.jdbc.x.ps,MapBinder,127,0,16,0,27,0,13,0,5,0
SQL Templates,org.klojang.jdbc.x.ps,LongReceivers,79,0,0,0,12,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,ShortReceivers,108,0,0,0,15,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,LocalDateReceivers,33,0,0,0,7,0,4,0,4,0
SQL Templates,org.klojang.jdbc.x.ps,ByteReceivers,112,0,0,0,17,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,BeanBinder,26,0,0,0,7,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,EnumReceivers,81,0,0,0,11,0,6,0,6,0
SQL Templates,org.klojang.jdbc.x.ps,BeanValueBinder,190,0,14,0,38,0,14,0,7,0
SQL Templates,org.klojang.jdbc.x.ps,Receiver,59,0,2,0,16,0,8,0,7,0
SQL Templates,org.klojang.jdbc.x.ps,FloatReceivers,103,0,0,0,13,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,BooleanReceivers,51,0,4,0,8,0,6,0,4,0
SQL Templates,org.klojang.jdbc.x.ps,DefaultReceivers,53,0,0,0,18,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,ReceiverLookup,17,0,0,0,3,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,DoubleReceivers,102,0,0,0,14,0,3,0,3,0
SQL Templates,org.klojang.jdbc.x.ps,ReceiverNegotiator,141,0,2,0,30,0,7,0,6,0
SQL Templates,org.klojang.jdbc,Row,800,0,42,0,129,0,99,0,78,0
SQL Templates,org.klojang.jdbc,EmptyMappifier,20,0,0,0,8,0,8,0,8,0
SQL Templates,org.klojang.jdbc,DefaultMappifier.RowIterator,32,0,2,0,6,0,4,0,3,0
SQL Templates,org.klojang.jdbc,ResultSetReadException,4,0,0,0,2,0,1,0,1,0
SQL Templates,org.klojang.jdbc,DefaultBeanifier,152,0,14,0,39,0,15,0,8,0
SQL Templates,org.klojang.jdbc,SQLInsert,341,0,26,0,86,0,26,0,13,0
SQL Templates,org.klojang.jdbc,SQLUpdate,31,0,0,0,9,0,3,0,3,0
